
danger%1:26:00::	danger%1:04:00::
dance%1:04:00::	dance%1:10:00::
dance%1:11:00::	dance%1:14:00::
crystal%1:17:00::	crystal%1:27:00::
court%1:14:01::	court%1:14:00::
court%1:06:02::	court%1:14:00::
couple%1:14:01::	couple%1:14:00::
cost%1:07:00::	cost%1:21:00::
contrast%1:04:00::	contrast%1:24:00::
contrast%1:09:01::	contrast%1:24:00::
contact%1:04:00::	contact%1:11:00::
contact%1:26:00::	contact%1:11:00::
contact%1:10:00::	contact%1:04:02::
circus%1:14:00::	circus%1:04:00::
accumulation%1:22:00::	accumulation%1:04:00::
acceptance%1:04:00::	acceptance%1:09:00::
yield%1:06:00::	yield%1:04:00::
worker%1:18:01::	worker%1:18:00::
variety%1:14:00::	variety%1:09:01::
variety%1:07:00::	variety%1:14:01::
technology%1:09:00::	technology%1:04:00::
substance%1:03:01::	substance%1:03:00::
street%1:06:01::	street%1:06:00::
speculation%1:10:03::	speculation%1:09:00::
shelter%1:06:01::	shelter%1:06:00::
share%1:04:00::	share%1:21:00::
share%1:04:01::	share%1:21:00::
security%1:12:00::	security%1:26:00::
security%1:21:01::	security%1:26:00::
return%1:04:01::	return%1:04:00::
return%1:11:02::	return%1:04:02::
region%1:15:01::	region%1:15:00::
rate%1:07:00::	rate%1:28:00::
question%1:07:00::	question%1:10:01::
question%1:10:03::	question%1:10:00::
proportion%1:24:01::	proportion%1:24:00::
principle%1:09:00::	principle%1:09:03::
principle%1:10:00::	principle%1:09:03::
possibility%1:09:03::	possibility%1:26:00::
position%1:15:02::	position%1:15:00::
position%1:07:00::	position%1:15:00::
position%1:26:02::	position%1:26:00::
position%1:09:01::	position%1:09:00::
planet%1:17:00::	planet%1:17:01::
passion%1:16:00::	passion%1:12:00::
output%1:23:00::	output%1:04:00::
output%1:06:00::	output%1:04:00::
operation%1:04:01::	operation%1:22:00::
operation%1:04:02::	operation%1:04:03::
nature%1:18:00::	nature%1:17:00::
nature%1:07:01::	nature%1:07:02::
matter%1:09:01::	matter%1:09:00::
man%1:18:08::	man%1:18:03::
job%1:04:04::	job%1:04:00::
job%1:04:02::	job%1:04:00::
job%1:04:05::	job%1:04:01::
issue%1:09:00::	issue%1:09:01::
influence%1:19:00::	influence%1:07:00::
influence%1:09:00::	influence%1:07:00::
index%1:10:01::	index%1:24:00::
idea%1:09:01::	idea%1:09:00::
idea%1:09:02::	idea%1:09:00::
head%1:09:00::	head%1:08:00::
head%1:10:03::	head%1:15:00::
head%1:15:01::	head%1:15:00::
head%1:18:01::	head%1:18:00::
ground%1:09:00::	DELETE
ground%1:24:00::	ground%1:16:00::
ground%1:27:00::	ground%1:17:00::
focus%1:26:00::	DELETE
focus%1:07:03::	focus%1:09:00::
flight%1:14:00::	flight%1:14:01::
fact%1:10:01::	fact%1:09:01::
fact%1:09:02::	fact%1:09:01::
face%1:06:02::	face%1:07:00::
face%1:07:03::	face%1:08:00::
face%1:18:00::	face%1:08:00::
face%1:08:01::	face%1:08:00::
experience%1:11:00::	experience%1:09:00::
document%1:06:00::	document%1:10:00::
difference%1:11:00::	difference%1:07:00::
cycle%1:11:01::	cycle%1:28:00::
conference%1:10:00::	conference%1:14:00::
club%1:06:01::	club%1:06:00::
club%1:14:01::	club%1:14:00::
trouble%1:11:01::	trouble%1:09:00::
trouble%1:04:02::	trouble%1:09:00::
system%1:09:00::	system%1:14:00::
system%1:09:01::	system%1:14:00::
system%1:09:02::	system%1:14:00::
system%1:08:01::	system%1:08:00::
sound%1:07:00::	sound%1:19:00::
sound%1:09:00::	sound%1:19:00::
sound%1:10:01::	sound%1:19:00::
sound%1:11:00::	sound%1:19:00::
sort%1:07:00::	sort%1:09:00::
right%1:04:00::	right%1:15:00::
right%1:07:01::	right%1:07:00::
right%1:08:00::	right%1:15:00::
right%1:06:00::	right%1:15:00::
product%1:06:00::	product%1:06:01::
piece%1:06:03::	piece%1:06:00::
piece%1:06:04::	piece%1:06:00::
piece%1:06:05::	piece%1:06:00::
piece%1:17:00::	piece%1:06:00::
information%1:10:02::	information%1:10:00::
information%1:14:00::	information%1:09:00::
increase%1:04:00::	increase%1:11:00::
increase%1:07:00::	increase%1:23:00::
increase%1:22:00::	increase%1:11:00::
growth%1:11:01::	growth%1:22:01::
growth%1:17:00::	growth%1:22:00::
growth%1:22:02::	growth%1:22:01::
establishment%1:14:02::	establishment%1:14:00::
establishment%1:14:01::	establishment%1:14:00::
establishment%1:06:00::	establishment%1:14:00::
end%1:15:01::	end%1:15:00::
end%1:15:02::	end%1:15:00::
end%1:15:03::	end%1:15:00::
end%1:26:00::	end%1:11:00::
end%1:18:00::	end%1:15:00::
day%1:28:01::	day%1:28:00::
day%1:28:04::	day%1:28:02::
day%1:28:05::	day%1:28:03::
corner%1:15:01::	corner%1:15:02::
corner%1:17:00::	corner%1:15:00::
corner%1:25:00::	corner%1:06:02::
role%1:07:00::	role%1:04:00::
role%1:04:01::	role%1:04:00::
example%1:09:01::	example%1:09:02::
example%1:10:00::	example%1:09:02::
example%1:11:00::	example%1:09:00::
study%1:10:00::	study%1:04:00::
study%1:06:01::	study%1:04:00::
study%1:09:01::	study%1:09:03::
study%1:09:04::	study%1:09:03::
work%1:04:01::	work%1:04:00::
work%1:09:00::	work%1:04:00::
report%1:10:01::	report%1:10:00::
problem%1:09:00::	problem%1:26:00::
president%1:18:03::	president%1:18:01::
loss%1:11:00::	loss%1:21:01::
loss%1:11:01::	loss%1:21:01::
loss%1:07:00::	loss%1:21:01::
discovery%1:09:00::	discovery%1:04:00::
discovery%1:10:00::	discovery%1:04:00::
democracy%1:14:00::	democracy%1:09:00::
thing%1:09:01::	thing%1:09:02::
thing%1:06:01::	thing%1:06:00::
thing%1:09:00::	thing%1:09:02::
thing%1:11:00::	thing%1:26:00::
time%1:07:01::	time%1:28:05::
time%1:11:01::	time%1:28:00::
time%1:28:04::	time%1:03:00::
game%1:04:03::	game%1:04:00::
game%1:04:01::	game%1:04:00::
absence%1:04:00::	absence%1:26:00::
absence%1:04:00::	absence%1:26:00::
absence%1:28:00::	absence%1:26:00::
action%1:04:04::	action%1:04:02::
addiction%1:04:00::	DELETE
addition%1:15:00::	DELETE
addition%1:04:02::	addition%1:06:00::
addition%1:21:00::	addition%1:06:00::
addition%1:23:00::	addition%1:06:00::
address%1:10:02::	address%1:15:00::
address%1:10:03::	address%1:10:00::
air%1:15:01::	air%1:27:00::
air%1:19:00::	air%1:27:00::
air%1:10:01::	DELETE
airs%1:07:00::	DELETE
alarm%1:10:00::	alarm%1:06:00::
amount%1:03:00::	amount%1:07:00::
annoyance%1:12:00::	annoyance%1:26:00::
appeal%1:10:02::	appeal%1:10:00::
appreciation%1:09:01::	appreciation%1:09:00::
appreciation%1:10:00::	appreciation%1:09:00::
appreciation%1:04:00::	appreciation%1:09:00::
area%1:06:00::	area%1:15:01::
area%1:08:00::	area%1:15:01::
area%1:26:00::	area%1:09:00::
array%1:10:00::	array%1:14:00::
arrival%1:04:01::	arrival%1:04:00::
art%1:09:00::	art%1:04:00::
art%1:10:00::	art%1:06:00::
arts%1:09:00::	art%1:04:00::
assessment%1:21:00::	assessment%1:09:00::
assessment%1:07:00::	assessment%1:09:00::
assumption%1:10:00::	assumption%1:09:00::
assumption%1:04:01::	assumption%1:09:00::
assumption%1:28:00::	DELETE
assumption%1:11:00::	DELETE
attention%1:09:01::	attention%1:09:00::
attention%1:09:02::	attention%1:09:00::
attraction%1:09:00::	attraction%1:07:00::
attraction%1:10:00::	attraction%1:07:00::
authority%1:14:00::	authority%1:18:01::
authorities%1:14:00::	authority%1:18:01::
authority%1:07:02::	authority%1:07:00::
back%1:08:01::	back%1:08:00::
back%1:06:01::	back%1:06:00::
back%1:06:02::	back%1:08:00::
back%1:06:03::	back%1:06:00::
background%1:26:00::	background%1:09:01::
background%1:11:01::	background%1:09:00::
band%1:14:00::	band%1:14:01::
band%1:14:02::	band%1:14:01::
band%1:06:03::	band%1:06:00::
barrel%1:23:04::	barrel%1:23:01::
barrels%1:23:00::	barrel%1:23:01::
basis%1:24:01::	basis%1:24:00::
basket%1:04:00::	DELETE
basket%1:06:01::	DELETE
bath%1:06:00::	DELETE
beat%1:18:00::	DELETE
beat%1:11:00::	beat%1:07:00::
beat%1:11:01::	beat%1:07:00::
behavior%1:07:00::	behavior%1:04:00::
behavior%1:04:01::	behavior%1:04:00::
bill%1:10:00::	DELETE
bill%1:10:06::	DELETE
bill%1:04:00::	DELETE
bill%1:06:00::	DELETE
bill%1:06:01::	DELETE
birth%1:11:00::	birth%1:28:00::
birth%1:22:00::	birth%1:28:00::
birth%1:18:00::	birth%1:28:00::
bit%1:17:00::	bit%1:23:01::
bit%1:11:00::	bit%1:23:01::
bit%1:13:00::	bit%1:23:01::
bluff%1:04:00::	bluff%1:10:00::
boost%1:04:01::	boost%1:04:00::
bottom%1:15:01::	bottom%1:15:00::
box%1:04:00::	DELETE
box%1:06:04::	DELETE
box%1:20:00::	DELETE
brain%1:09:01::	brain%1:08:00::
brain%1:13:00::	brain%1:08:00::
business%1:04:00::	business%1:04:01::
business%1:04:02::	business%1:04:01::
business%1:04:03::	business%1:04:01::
business%1:09:00::	business%1:09:01::
business%1:14:02::	business%1:14:00::
card%1:10:03::	DELETE
cards%1:04:00::	DELETE
card%1:10:06::	DELETE
case%1:26:00::	case%1:11:00::
case%1:09:00::	case%1:11:00::
case%1:10:02::	case%1:11:00::
case%1:06:03::	case%1:06:00::
case%1:06:06::	case%1:06:00::
center%1:18:01::	center%1:18:00::
center%1:18:02::	center%1:18:00::
center%1:15:00::	center%1:15:01::
change%1:19:00::	change%1:11:00::
change%1:04:00::	change%1:11:00::
change%1:24:00::	change%1:11:00::
change%1:21:01::	change%1:21:02::
change%1:21:03::	change%1:21:02::
change%1:06:01::	DELETE
change%1:06:00::	DELETE
characteristic%1:07:00::	characteristic%1:09:00::
characteristic%1:10:00::	DELETE
childhood%1:26:00::	childhood%1:28:00::
china%1:15:01::	DELETE
church%1:14:01::	DELETE
circle%1:06:00::	DELETE
circle%1:06:02::	DELETE
circle%1:25:01::	circle%1:25:00::
circumstance%1:09:00::	circumstance%1:26:01::
circumstance%1:11:00::	circumstance%1:26:01::
circumstance%1:26:02::	circumstance%1:26:01::
circumstances%1:21:00::	circumstance%1:26:01::
circumstances%1:26:02::	circumstance%1:26:01::
claim%1:04:00::	claim%1:10:00::
claim%1:07:02::	claim%1:10:00::
cloud%1:26:01::	DELETE
cloud%1:26:02::	DELETE
cloud%1:26:00::	DELETE
cloud%1:14:00::	DELETE
color%1:07:01::	color%1:07:00::
combination%1:04:00::	combination%1:14:00::
company%1:18:00::	company%1:26:00::
concentration%1:07:01::	concentration%1:09:00::
concern%1:09:01::	concern%1:12:01::
concern%1:09:01::	concern%1:12:01::
condition%1:26:01::	condition%1:26:00::
condition%1:26:02::	condition%1:26:00::
condition%1:26:05::	condition%1:26:00::
condition%1:09:01::	condition%1:26:00::
condition%1:10:02::	condition%1:26:00::
condition%1:09:00::	condition%1:26:00::
conditions%1:19:00::	condition%1:26:00::
conditions%1:26:03::	condition%1:26:00::
conditions%1:26:04::	condition%1:26:00::
country%1:15:00::	country%1:14:00::
country%1:14:01::	country%1:14:00::
country%1:15:02::	country%1:14:00::
deal%1:10:00::	deal%1:04:02::
deal%1:11:00::	deal%1:04:02::
deal%1:10:00::	deal%1:04:02::
decision%1:09:00::	decision%1:04:00::
dollar%1:10:00::	dollar%1:23:00::
door%1:06:01::	door%1:06:00::
education%1:14:00::	education%1:04:00::
education%1:09:01::	education%1:04:00::
education%1:04:01::	education%1:04:00::
education%1:07:01::	education%1:09:00::
element%1:15:00::	DELETE
elements%1:19:00::	DELETE
element%1:26:00::	DELETE
element%1:27:01::	DELETE
employment%1:04:02::	employment%1:26:00::
employment%1:04:00::	employment%1:26:00::
end%1:04:00::	DELETE
end%1:04:02::	DELETE
imagine%2:31:01::	imagine%2:36:00::
family%1:14:01::	family%1:14:00::
family%1:14:02::	family%1:14:00::
family%1:18:00::	family%1:14:00::
family%1:14:05::	family%1:14:00::
family%1:14:03::	family%1:14:04::
family%1:14:00::	family%1:14:02::
family%1:14:01::	family%1:14:02::
family%1:14:05::	DELETE
field%1:14:01::	DELETE
field%1:14:02::	DELETE
field%1:04:00::	field%1:09:00::
field%1:26:00::	field%1:09:00::
field%1:17:00::	field%1:15:00::
field%1:15:02::	field%1:15:00::
field%1:15:01::	field%1:15:00::
field%1:15:03::	field%1:15:00::
figure%1:21:00::	figure%1:23:00::
figure%1:07:01::	figure%1:23:00::
form%1:07:03::	form%1:09:01::
form%1:07:01::	form%1:09:00::
function%1:14:00::	DELETE
function%1:11:00::	DELETE
instruction%1:04:00::	instruction%1:04:01::
law%1:09:02::	law%1:14:00::
law%1:04:00::	law%1:14:00::
law%1:14:01::	law%1:14:00::
law%1:10:00::	law%1:14:00::
level%1:26:00::	level%1:26:01::
level%1:09:00::	level%1:26:01::
library%1:06:02::	library%1:06:01::
life%1:19:00::	life%1:03:00::
life%1:16:00::	life%1:26:02::
life%1:28:01::	life%1:28:00::
life%1:28:02::	life%1:28:00::
life%1:28:03::	life%1:28:00::
light%1:10:00::	light%1:19:00::
light%1:15:00::	light%1:19:00::
light%1:26:00::	light%1:19:00::
light%1:06:01::	light%1:19:00::
light%1:07:01::	light%1:06:00::
light%1:07:00::	light%1:06:00::
light%1:18:00::	light%1:09:01::
light%1:09:02::	light%1:09:01::
light%1:26:01::	light%1:09:01::
light%1:09:00::	light%1:09:01::
line%1:04:00::	line%1:09:01::
line%1:09:00::	line%1:09:01::
line%1:10:06::	line%1:09:01::
line%1:14:02::	line%1:09:01::
line%1:10:02::	line%1:09:01::
line%1:19:00::	line%1:10:01::
line%1:25:01::	line%1:10:01::
line%1:15:01::	line%1:10:01::
line%1:14:01::	line%1:14:03::
line%1:15:02::	line%1:14:03::
line%1:15:00::	line%1:14:03::
line%1:06:07::	line%1:06:01::
line%1:10:04::	DELETE
line%1:06:08::	DELETE
line%1:06:05::	DELETE
line%1:23:00::	DELETE
match%1:06:02::	match%1:06:00::
medicine%1:04:02::	DELETE
medicine%1:04:00::	medicine%1:09:00::
number%1:06:00::	DELETE
number%1:10:05::	DELETE
number%1:10:00::	DELETE
number%1:14:00:::	DELETE
number%1:10:03::	number%1:23:00::
number%1:10:01::	number%1:23:00::
number%1:10:02::	number%1:23:00::
number%1:07:01::	number%1:23:00::
number%1:10:07::	number%1:23:00::
number%1:10:00::	number%1:23:00::
office%1:04:01::	office%1:26:00::
office%1:04:00::	DELETE
part%1:09:00::	part%1:24:00::
part%1:17:00::	part%1:24:00::
part%1:08:01::	part%1:24:00::
part%1:06:00::	part%1:24:00::
part%1:04:03::	part%1:09:02::
part%1:04:01::	part%1:09:02::
past%1:28:01::	past%1:28:00::
pattern%1:04:00::	pattern%1:09:00::
pattern%1:09:03::	pattern%1:09:00::
pattern%1:09:01::	pattern%1:09:00::
pattern%1:09:02::	pattern%1:09:00::
pattern%1:15:00::	DELETE
performance%1:04:01::	performance%1:10:00::
performance%1:04:03::	performance%1:04:00::
place%1:15:04::	place%1:15:00::
place%1:15:01::	place%1:15:00::
place%1:15:02::	place%1:15:00::
place%1:15:03::	place%1:15:00::
place%1:15:05::	place%1:15:00::
place%1:15:06::	place%1:15:00::
place%1:26:01::	place%1:04:01::
point%1:25:00::	point%1:06:00::
point%1:06:02::	point%1:06:00::
point%1:09:01::	point%1:10:01::
point%1:09:02::	point%1:10:01::
point%1:07:02::	point%1:10:01::
